qstr_Next_Page|Следующая страница
qstr_Game_Rules:^|Правила:^
qstr_0|0
qstr_Show_game_rules|Показать правила
qstr_Continue...|Продолжить...
qstr_Candidate_#1:_{s1}|Кандидат №1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат №2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} ({s4}) желает выбрать нового маршала и приглашает его вассалов для совещания. {s1} и {s2} - вероятные кандидаты.
qstr_Who_do_you_wish_to_s|Кого вы желаете поддержать?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Количество поддерживающих: {reg0}
qstr_{s2}_has_heard_his_v|{s2} услышал своих вассалов. Им выбран {s1} в качестве маршала {s3}.
qstr_Action|Действия
qstr_Mount|Сесть верхом
qstr_Attack_Type|Тип атаки
qstr_Stand_Ground|Стоять
qstr_Charge|В атаку
qstr_Follow_Me|За мной
qstr_Hold_This_Position|Держать позицию
qstr_Spread_Out|Рассыпаться
qstr_Stand_Closer|Сдвинуться
qstr_Fall_Back|Отступить
qstr_Advance|Продвинуться
qstr_Dismount|Спешиться
qstr_Fire_At_Will|Стрелять по готовности
qstr_Hold_Your_Fire|Не стрелять
qstr_Use_Blunt_Weapons|Дробящее оружие
qstr_Use_Any_Weapon|Оружие по желанию
qstr_Ready|В бою
qstr_Wounded|Ранено
qstr_Dead|Убито
qstr_Number_of_men_knocke|Количество сбитых: {reg1}
qstr_Number_of_men_left:_|Количество оставшихся: {reg1}
qstr_Opponents_Beaten:_{r|Выведено из строя противников: {reg1}
qstr_Opponents_Remaining:|Противников в строю: {reg1}
qstr_Remain_in_retirement|В отставку.
qstr_Go_back_to_the_adven|На поиски приключений.
qstr_You_have_retired_at_|Вы ушли в отставку на уровне {reg4} после {reg5}-ти дневных путешествий.
qstr_Effect_on_Score|Влияние на счет
qstr_Settlements_owned_by|Вы владеете поселениями: {reg0}
qstr_Friendly_Settlements|Дружественные поселения: {reg0}
qstr_Hostile_Settlements:|Враждебные поселения: {reg0}
qstr_Friendly_Lords:_{reg|Дружественные лорды: {reg0}
qstr_Enemy_Lords:_{reg0}|Вражеские лорды: {reg0}
qstr_Victories:_{reg0}|Победы: {reg0}
qstr_Defeats:_{reg0}|Поражения: {reg0}
qstr_Quests_Completed:_{r|Выполненные квесты: {reg0}
qstr_Companions_Found:_{r|Привлеченные компаньоны: {reg0}
qstr_Companions_Lost/Depa|Потерянные/ушедшие компаньоны: {reg0}
qstr_Wealth:_{reg0}_denar|Благосостояние: {reg0} Динар
qstr_Inventory:_{reg0}_de|Имущество: {reg0} динар
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Прошло дней: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|Общий счет: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Нет
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Штат:
qstr_You_paid_{reg0}_cash|Вы платите {reg0} динар в счет уплаты долга.
qstr_Earlier_cash:|Прежняя наличность:
qstr_New_cash:|Новая наличность:
qstr_Done|Готово
qstr_Name:_{s1}^Level:_{r|Имя: {s1}^Уровень: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Настройки апгрейда оружия:
qstr_Apply_to_everyone|Применить ко всем
qstr_Upgrade_armor_|Улучшать броню
qstr_Upgrade_horse_|Улучшать лошадей
qstr_Select_your_domestic|Выберите Вашу внутреннюю политику
qstr_Centralization:|Централизация:
qstr_Aristocracy:|Аристократия:
qstr_Serfdom:|Крепостное право:
qstr_Troop_quality:|Качество войск:
qstr_Mercantilism:|Меркантилизм:
qstr_High_centralization_|Высокая централизация сокращает налоговые поступления в казну и повышает благосостояние вассалов. Это влияет на отношения между правителем и вассалами.
qstr_High_aristocracy_wil|Высшая аристократия улучшает отношения короля и вассалов, которые смогут нанимать больше войск, но снизит эффективность торговли.
qstr_High_serfdom_reduces|Крепостное право снижает потери от неэффективного сбора налогов для короля и вассалов, к тому же вассалы смогут нанимать больше войск, однако моральный дух солдат понижается.
qstr_High_troop_quality_i|Высокое качество войск увеличивает силу солдат но снижает размер армий.
qstr_Mercantilistic_polic|Политика меркантилизма максимизирует экспорт и минимизирует импорт, а также увеличивает влияние государства на промышленность.
qstr_Cancel|Отмена
qstr_Dictate_the_peace_te|Диктовать условия мира
qstr_Select_the_castle_an|Выберите замок и сумму денег, зтем установите флажки, чтобы активизировать спрос. Запросы обьединяются, если оба поля отмечены.
qstr_1000_denars|1000 динар
qstr__Faction_Relations_R| Отчет о отношениях фракций 
qstr__Return_to_menu_| Назад в меню 
qstr_Your_kingdom|Ваше королевство
qstr_Player^Relation|Отношения^игрока
qstr_War|Война
qstr_Casus_Belli|Казус Бэлли
qstr_Peace|Мир
qstr_Truce|Перемирие
qstr_Alliance|Альянс
qstr_Defense|Оборона
qstr_Trade|Торговля
qstr_{reg59?{reg59}_days:|{reg59?{reg59} дней:}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|Верные
qstr_Devoted|Преданные
qstr_Fond|Теплые
qstr_Gracious|Благодарные
qstr_Friendly|Дружелюбные
qstr_Supportive|Поддерживающие
qstr_Favorable|Благоприятные
qstr_Cooperative|Сотрудничающие
qstr_Accepting|Приязненные
qstr_Indifferent|Безразличные
qstr_Suspicious|Подозрительные
qstr_Grumbling|Недовольные
qstr_Hostile|Неприязненные
qstr_Resentful|Возмущенные
qstr_Angry|Сердитые
qstr_Hateful|Ненавидящие
qstr_Revengeful|Мстительные
qstr_Vengeful|Кровожадные
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|Феодов: {reg61} {reg58?({reg58} Б) :}
qstr_{reg62}_Caravans|Караванов: {reg62}
qstr_{reg60}_{reg59?_{reg|Лордов: {reg60} {reg59?({reg59} П) :}
qstr_How_will_your_male_v|Как будут называть ваших вассалов мужчин?
qstr_How_will_your_female|Как будут называть ваших вассалов женщин?
qstr_Use_the_Titles_Enter|Использовать вышеупомянутые титулы.
qstr_Use_Default_Titles__|Использовать стандартные титулы (Лорд/Леди).
qstr_Sell_items_automatic|Продавать вещи автоматически при выходе:
qstr_Price_limit_for_auto|Лимит цен для авто-продажи:
qstr_Item_types_for_auto_|Типы вещей для авто-продажи:
qstr_Select_all|Выбрать все
qstr_Select_invert|Инвертировать выделение
qstr_Buy_food_automatical|Покупать еду автоматически при выходе:
qstr_*|*
qstr__Courtships_in_progr| Прогресс в ухаживаниях 
qstr__Known_Lords_by_Rela| Знакомые лорды по отношению 
qstr__Character_&_Compani| Персонаж и спутники 
qstr__Done_| OK 
qstr_Your_supporters|Ваши сторонники
qstr_Swadians|Свадийцы
qstr_Vaegirs|Вегиры
qstr_Khergits|Хергиты
qstr_Nords|Норды
qstr_Rhodoks|Родоки
qstr_Sarranids|Сарраниды
qstr_All_Factions|Все фракции
qstr__near_{s10}| рядом с {s10}
qstr_Your_recruiter_who_w|Ваш вербовщик, которому было поручено набрать {reg10} рекрутов для {s13} был разбит{s10}!
qstr_Your_caravan_sending|Ваш караван, везущий {s12} для {s13} был разбит{s10}!
qstr_Your_messenger_on_th|Ваш посыльный на пути к {s13} был разбит{s10}!
qstr_Your_soldiers_patrol|Ваши солдаты, патрулировавшие {s13} были разбиты{s10}!
qstr_A_scout_trying_to_ga|Разведчик, который собирал информацию о {s13} был убит{s10}!
qstr_{s1}_of_{s3}_was_def|{s1} ({s3}) потерпел поражение в битве, но смог сбежать.
qstr_{s1}_is_now_a_prison|{s1} теперь узник {s2}.
qstr_{s54}_is_a_claimant_|{s54} является претендентом на трон {s56}.
qstr_nowhere|нигде
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_The_town_of_{s50}|Город {s50}
qstr_The_village_of_{s50}|Деревня {s50} около {s52}
qstr_{s51}_belongs_to_{s1|{s51}, владельцем является {s1} ({s2}), и здесь Ваш двор.^
qstr_{s51}_belongs_to_{s1}|{s51}, владельцем является {s1} ({s2}), и здесь {reg0?ее:его} двор.^
qstr_{s51}_belongs_to_{s1}_|{s51}, владельцем является {s1} ({s2}), и здесь {reg0?ее:его} дом.^
qstr_{s51}_belongs_to_{s1}_o|{s51}, владельцем является {s1} ({s2}).^
qstr_{s51}_belongs_to_{s2|{s51}, относится к {s2}, но пока не имеет правителя.^
qstr_{s51}_belongs_to_{s2}|{s51}, владельцем является {s2}.^
qstr_{s2}Its_market_town_|{s2}Ее рынок сбыта в городе {s8}.^
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}It_has_no_villag|{s2} не имеет деревень.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Деревни:Деревня} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Достаток: {s50}
qstr_noone|пусто
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s5}_has_been_defeat|{s5} потерпел поражение!
qstr_{s7}_opened_the_gate|{s7} открыл ворота
qstr_{s7}_closed_the_gate|{s7} закрыл ворота
qstr_+{reg1}_to_party_mor|+{reg1} к морали отряда
qstr_Requires_{reg1}_inte|Требует {reg1} интеллекта для прочтения
qstr_Reading_Progress:_{r|Прогресс чтения: {reg1}%
qstr_wound_treament|первой помощи
qstr_trainer|обучению
qstr_surgery|хирургии
qstr_+1_to_{s1}_while_in_|+1 к {s1} пока находится в инвентаре
qstr_Move_here|Перейти
qstr_View_notes|Заметки
qstr_Accompany|Сопровождать
qstr_killed|убито
qstr_wounded|ранено
qstr_{s0}^TOTAL:_{reg3}__|{s0}^Всего: {reg3} ({s2})
qstr_^None|^ничего
qstr_nothing|ничего
qstr_{reg0}_village{reg1?|{reg0} {reg1?деревень:деревня}
qstr_{reg0}_castle{reg1?s|{reg0} {reg1?замков:замок}
qstr_{reg0}_castle{reg1?s:|{reg0} {reg1?замков:замок} и {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} {reg1?городов:город}
qstr_{reg0}_town{reg1?s:}_|{reg0} {reg1?городов:город} и {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} {reg1?городов:город}, {s0}
qstr_Your_opponents_are_r|Ваши противники готовы к бою.
qstr_Try_to_destroy_as_ma|Старайтесь уничтожить как можно больше целей. У Вас две с половиной минуты для того, чтобы очистить путь.
qstr_Stay_behind_the_line|Стойте перед чертой и стреляйте по мишеням. Старайтесь не промахиваться.
qstr_Battle_Advantage_=_{|Боевое преимущество = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} хочет, чтобы Вы следовали за его армией до его дальнейших указаний.
qstr_Tribune|Трибун
qstr_{s5}_of_the_{s7}_has|{s5} ({s7}) получает во владение {s4}.
qstr_{s4}_has_been_awarde|{s5} ({s7}) награждается феодом {s4}.
qstr_pt_in_{s11}|пунктов в {s11}
qstr__Being_Raided_|(Под нападением)
qstr__Looted_|(Разграблено)
qstr__Under_Siege_|(В осаде)
qstr_The_village_of_{s1}_|{s2} ограбил деревню {s1}.
qstr_{s3}_is_no_longer_un|{s3} более не находится в осаде.
qstr_Small_bands_of_enemi|Малые отряды врагов замечены около {s1}.
qstr_Enemy_patrols_spotte|Вражеские патрули замечены около {s1}.
qstr_Medium_sized_group_o|Средняя группа врагов замечена около {s1}.
qstr_Significant_group_of|Большая группа врагов замечена около {s1}.
qstr_Army_of_enemies_spot|Вражеская армия замечена около {s1}.
qstr_Large_army_of_enemie|Большая вражеская армия замечена около {s1}.
qstr_Great_host_of_enemie|Гигантская вражеская армия замечена около {s1}.
qstr_{s0}_collects_{reg0}|{s0} собирает {reg0} динар от {s4}, текущий капитал: {reg1} динар
qstr_{reg2}|{reg2}
qstr__{s10}_of_{s13}_recr| {s10} из {s13} рекрутов {s11} {s12} в {s14}
qstr_{s1}_has_been_besieg|{s1} осаждает {s2} ({s3}).
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}:{s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s5}_has_the_greates|{s5} имеет наибольшую поддержку среди лордов {s4}, чтобы быть следующим маршалом. {s0} недомогает и не может отменить их выбор.
qstr_{s5}_has_the_greatest|{s5} имеет наибольшую поддержку среди лордов {s4}, чтобы получить {s1}. {s0} недомогает и не может отменить их выбор.
qstr_{s5}_has_the_greatest_|{s5} имеет наибольшую поддержку среди лордов {s4}, чтобы быть следующим маршалом, но {s0} отменяет их выбор.
qstr_{s5}_has_the_greatest_s|{s5} имеет наибольшую поддержку среди лордов {s4}, чтобы получить {s1}, но {s0} отменяет их выбор.
qstr_{s1}_is_the_new_mars|{s1} становится новым маршалом {s2}.
qstr_You_gained_{reg12}_r|Вы получили {reg12} к известности.
qstr_You_lose_{reg12}_ren|Вы потеряли {reg12} известности.
qstr_Your_relation_with_{|Ваши отношения с {s1} улучшились.
qstr_Your_relation_with_{s|Ваши отношения с {s1} ухудшились.
qstr_You_gain_honour.|Ваша честь увеличивается.
qstr_You_lose_honour.|Ваша честь уменьшается.
qstr_{s1}_has_declared_wa|{s1} и {s2} теперь в состоянии войны.
qstr_{s0}_is_laying_siege|{s0} осаждает {s1}.
qstr_{s0}_is_patrolling_a|{s0} патрулирует около {s1}.
qstr_{s0}_is_raiding_arou|{s0} совершает набег на {s1}.
qstr_{s0}_is_engaging_{s1|{s0} преследует {s1}.
qstr_{s0}_is_accompanying|{s0} сопровождает {s1}.
qstr_{s0}_is_screening_th|{s0} прикрывает наступление {s1}.
qstr_{s0}_is_trading_with|{s0} торгует с {s1}.
qstr_{s0}_is_retreating_t|{s0} отступает в {s1}.
qstr_{s0}_is_visiting_{s1|{s0} посещает {s1}.
qstr_{s1}_and_{s2}_have_m|{s1} и {s2} заключили мирное соглашение.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{reg4?была:был}:находится} в {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?{reg4?направлялась:направлялся}:направляется} в {s3} и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} около {s4}.
qstr_{s2}_{reg3?was:is}_tr|{s2} {reg3?{reg4?направлялась:направлялся}:направляется} в {s3} и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} между {s4} и {s1}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?{reg4?была:был}:находится} в пути и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} около {s3}.
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3?{reg4?была:был}:находится} в пути и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} между {s3} и {s1}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?{reg4?была:был}:находится} пленником в {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?{reg4?была:был}:находится} в плену у {reg4?ее:его} врагов.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} находится неизвестно где:Я не знаю, где сейчас {s2}}.
qstr_{s6}_has_joined_your|{s6} присоединяется к Вашему отряду.
qstr_You_now_owe_{reg2}_d|Вы должны {reg2} динар {s1}.
qstr_Renown_value_for_thi|Рейтинг битвы {reg8}.
qstr_You_have_run_into_a_|Вы попали в западню!
qstr_You_are_attacked_by_|Вас атаковала группа разбойников!
qstr_Holding|Держат позицию
qstr_Following|Следуют
qstr_Charging|Атакуют
qstr_Advancing|Продвигаются
qstr_Falling_Back|Отступают
qstr_Standing_Closer|Сдвигаются
qstr_Spreading_Out|Рассыпаются
qstr_Standing|Стоят
qstr_N/A|Н/Д
qstr_Free|Свободно
qstr_Any_Weapon|Любое оружие
qstr_Blunt_Weapons|Дробящее оружие
qstr_Your_soldiers_patroll|Ваши солдаты патрулирующие около {s6} разбежались, потому что вы покинули фракцию!
qstr_{s1}_Rebels|{s1} мятежники
qstr_Given_by:_{s62}|Получено у: {s62}
qstr_Given_on:_{s60}|Получено: {s60}
qstr_You_have_{reg0}_days|У Вас {reg0} дней до истечения срока задания.
qstr_This_quest_has_been_|Это задание выполнено. {s59} ожидает Вас.
qstr_This_quest_has_been_s|Это задание успешно выполнено. {s59} ждет Вас для вручения награды.
qstr_This_quest_has_faile|Это задание провалено. {s59} ждет Ваших объяснений.
qstr_At_the_time_quest_wa|Во время начала задания:^{s1}
qstr_{s5}_has_a_strength_|{s5} располагает армией численностью: {reg1}.
qstr_The_last_time_you_sa|В последний раз, когда Вы {reg1?ее:его} видели, {s1}
qstr_The_last_time_you_he|В последний раз, когда Вы о {reg1?ней:нем} слышали, {s1}
qstr_Current_garrison_con|В настоящий момент гарнизон составляет {reg5} человек.^Запасов еды хватит на {reg6} дней.
qstr_Very_Poor|Очень бедный
qstr_Poor|Бедный
qstr_Average|Средний
qstr_Rich|Богатый
qstr_Very_Rich|Очень богатый
qstr_Manor|Поместье
qstr_A_manor_lets_you_res|Поместье позволяет Вам отдыхать в деревне и плата войскам в это время уменьшается на 50%.
qstr_Mill|Мельница
qstr_A_mill_increases_vil|Мельница увеличивает благосостояние деревни на 5%.
qstr_Watch_Tower|Вышка дозорного
qstr_A_watch_tower_lets_t|Вышка дозорного позволяет жителям деревни раньше поднять тревогу. Время необходимое врагам на грабеж деревни увеличивается на 50%.
qstr_School|Школа
qstr_A_shool_increases_th|Школа увеличивает верность жителей деревни к вам на +1 ежемесячно.
qstr_Messenger_Post|Пост посыльного
qstr_A_messenger_post_let|Пост посыльного позволяет жителям отправить Вам сообщение о находящихся поблизости врагах, даже когда Вы находитесь вдалеке.
qstr_Prison_Tower|Тюрьма
qstr_A_prison_tower_reduc|Тюрьма уменьшает шанс на успешный побег пленников.
qstr_Prosperity_of_{s2}_h|Благосостояние {s2} изменилось с {s3} до {s4}.
qstr_{s4}_looks_upset.|{s4} огорчается.
qstr_your_party|ваш отряд
qstr_{reg0?One_of_your_pr|{reg0?Ваш пленник, :}{s1} ({s3}){reg0?, сбежал: сбегает из плена}!
qstr_You_brought_{reg3}_h|Вы доставили {reg3} голов скота {s1}.
qstr_I_heard_that_there_w|Говорят, что скоро в {s62} будет турнир.
qstr_I_heard_some_people_|Говорят, что некоторые люди не верят в смерть {s6}.
qstr_I_heard_a_traveller_|Говорят, один путешественник утверждал, что он наткнулся на {s6}, когда путешествовал за пределами этих земель.
qstr_I_heard_that_{s6}_in|Говорят, что {s6} планирует поднять армию и захватить трон {s61}.
qstr_I_heard_that_one_can|Говорят, что можно дешево купить товар {s62} в {s63}.
qstr_I_heard_that_they_pa|Говорят, что можно дорого продать товар {s62} в {s63}.
qstr_two_days_ago|два дня назад
qstr_Best_threat_of_{s4}_|Самый опасный из {s4} имеет {reg1} уровень
qstr_No_center_found_to_d|Не найдено центра для защиты
qstr_You_gain_right_to_ru|Ваше право на правление увеличивается.
qstr_You_lose_right_to_ru|Ваше право на правление уменьшается.
qstr_{s0}^{s1}|{s0}^{s1}
qstr_{reg0}_denars_added_|{reg0} динар пополнили казну.
qstr_{reg0}_denars_remove|{reg0} динар изъято из казны.
qstr_{s1}_and_{s2}_have_e|{s1} и {s2} вступили в альянс друг с другом.
qstr_{s1}_and_{s2}_have_c|{s1} и {s2} заключили оборонительный пакт друг с другом.
qstr_{s1}_and_{s2}_have_co|{s1} и {s2} заключили торговое соглашение друг с другом.
qstr_{s1}_and_{s2}_have_con|{s1} и {s2} заключили пакт о ненападении друг с другом.
qstr_{s5}_patrol|Патруль ({s5})
qstr_Transfer_to_{s5}|Переброска в {s5}
qstr_{s5}_scout|{s5} разведчик
qstr_{s4}_has_returned_fr|{s4} вернулся из изгнания, ища укрытие у {s6} ({s5}).
qstr_{s4}_has_been_grante|{s4} получил помилование от {s6} ({s5}) и вернулся из изгнания.
qstr_Given_the_way_things|Учитывая то, как обстоят дела между нами в данный момент, {playername}, я не считаю целесообразным заключение такого договора.
qstr_{playername}_I_am_gr|{playername}, я выражаю вам благодарность, но в глазах людей вы не имеете достаточной легитимности как возможный соправитель. Брак с вами может вызывать недоверие к моим собственным претензиям на трон.
qstr_{playername}_I_know_|{playername}, я знаю, что если бы не вы, то не сидеть мне на этом троне, но ваше имя мало известно в Кальрадии. Брак с вами будет восприниматься как неравный и ставить под вопрос мои собственные претензии на трон.
qstr_{playername}_I_am_gra|{playername}, я выражаю благодарность за вашу помощь в возвращении мне законного трона, но у вас недостаточно личной собственности, чтобы быть подходящей парой для меня. Это будет неравный брак.
qstr_{playername}_I_am_grat|{playername}, я выражаю вам благодарность, но если я соглашусь, то рискую оскорбить влиятельных особ, таких как {s15}, которые могут считать себя равными или более достойными чем вы.
qstr_{playername}_I_am_grate|{playername}, я выражаю вам благодарность, но если я соглашусь, то рискую оскорбить величественных особ, таких как {s15}, которые могут считать себя равными или более достойными чем вы.
qstr_{playername}_while_I|{playername}, я выражаю вам благодарность, но надо признаться, что испытываю чувства к {s15}.
qstr_Our_realm_has_too_fe|Наше государство имеет слишком мало вассалов. С данным шатким положением дел, мне необходимо использовать возможность политического союза как приманку для привлечения новых вассалов, но пока не вижу ни одного достойного {reg65?поклонника:кандидата}.
qstr_Because_I_have_insuf|Потому что мне недостаточно личной собственности по сравнению с {s15}, если я вступлю в такое соглашение, то рискую выглядеть марионеткой и поставить в опасность стабильность государства.
qstr_Because_my_personal_|Потому что моя личная собственность недостаточно значительна по сравнению с другими лордами из {s14}, если я вступлю в такое соглашение, то рискую выглядеть марионеткой и поставить в опасность стабильность государства.
qstr_I_am_grateful_to_you|Я выражаю вам благодарность, {playername}, но у вас слишком много врагов среди лордов {s14}, чтобы ваше предложение было политически выгодным. Если я соглашусь, то может случиться мятеж.
qstr_You_have_engendered_|Вы породили слишком много разногласий в последнее время, {playername}. Если я на этот момент соглашусь, то может случиться мятеж среди лордов {s14}. Давайте поговорим об этом позже, когда страсти утихнут.
qstr_If_you_desire_to_lea|Если вы желаете править {s14} рядом со мной, то заручитесь поддержкой моих вассалов, станьте маршалом и продемонстрируйте им свои способности как военачальника.
