fac_no_faction|Нет фракции
fac_commoners|Простолюдины
fac_outlaws|Преступники
fac_neutral|Нейтралы
fac_innocents|Мирные
fac_merchants|Торговцы
fac_culture_norse|Норманны
fac_culture_saxon|Саксы
fac_culture_angle|Англы
fac_culture_welsh|Бритты
fac_culture_irish|Гэлы
fac_culture_scotch|Пикты
fac_player_faction|Фракция игрока
fac_player_supporters_faction|Сторонники игрока
fac_kingdom_1|ДАНИЯ
fac_kingdom_2|НОРВЕГИЯ
fac_kingdom_3|ЛОХЛАНН
fac_kingdom_4|ФРИЗИЯ
fac_kingdom_5|УЭССЕКС
fac_kingdom_6|ВОСТОЧНАЯ АНГЛИЯ
fac_kingdom_7|МЕРСИЯ
fac_kingdom_8|НОРТУМБРИЯ
fac_kingdom_9|ГВИНЕД
fac_kingdom_10|БРЭХЕЙНИОГ
fac_kingdom_11|СТРАТКЛАЙД
fac_kingdom_12|КОРНУБИЯ
fac_kingdom_13|ГЛИВИСИНГ
fac_kingdom_14|ОЛЬСТЕР
fac_kingdom_15|ЛЕЙНСТЕР
fac_kingdom_16|МАНСТЕР
fac_kingdom_17|КОННАХТ
fac_kingdom_18|АЙЛЕХ
fac_kingdom_19|МИДЕ
fac_kingdom_20|АЛЬБА
fac_kingdom_21|ОСРАЙГЕ
fac_christians|Христиане
fac_pagans|Язычники
fac_manhunters|Охотники за головами
fac_deserters|Дезертиры
fac_mountain_bandits|Морские разбойники
fac_forest_bandits|Лесные разбойники
fac_apoyoplayer|Нейтралы
fac_adventurers|Искатели приключений
